LowerBound,UpperBound,totalObs,OvrAvr,var
0,27.042030276779034,34,27.042030276779034,D
7.077405299747547,14.514105717925993,426,21.59151101767354,D
18.125070672961055,14.88828132130254,551,33.013351994263594,D
23.084775497762408,18.181915508867373,255,41.266691006629785,D
20.433273824310536,0,102,20.433273824310536,D
0,29.63643765394532,26,29.63643765394532,EM
7.737760931526486,17.258076351145753,360,24.99583728267224,EM
14.834477205097514,3.8632440037895868,787,18.6977212088871,EM
19.06247962676595,10.628201803558143,96,29.69068143032409,EM
9.755552583906097,0,99,9.755552583906097,EM
0,26.707757038773458,46,26.707757038773458,F
12.77555576345811,27.37409066349829,279,40.1496464269564,F
19.773743902715523,18.50760999689434,701,38.28135389960987,F
28.457575700395747,16.106734000732626,279,44.56430970112837,F
26.61586562659698,0,63,26.61586562659698,F
0,50,1,50,FB
2.0132259736586122,12.065817024065604,501,14.079042997724216,FB
15.37918881448229,8.757849324415034,572,24.137038138897324,FB
19.7190223405064,13.430518771934775,181,33.14954111244117,FB
13.096132107245603,0,113,13.096132107245603,FB
0,41.56161361904201,30,41.56161361904201,LEP
7.8672197817598475,14.53214784961938,455,22.399367631379228,LEP
16.741870471222686,4.8664806174109785,648,21.608351088633665,LEP
20.405843215731515,15.383187596891128,115,35.78903081262264,LEP
9.935663374943703,0,120,9.935663374943703,LEP
0,49.796097971298146,2,49.796097971298146,LI
0.15940284743709157,9.083447464630336,568,9.242850312067427,LI
14.06486916677196,6.2463510631137344,430,20.311220229885695,LI
13.200480590142101,13.216217338108002,208,26.416697928250102,LI
14.348399435182746,0,160,14.348399435182746,LI
0,9.645837971809005,29,9.645837971809005,OA
4.226184412337876,12.634844279256413,397,16.86102869159429,OA
9.743946256760564,8.531418116905627,631,18.275364373666193,OA
15.463061506934979,6.607086814229656,222,22.070148321164634,OA
10.870174514216378,0,89,10.870174514216378,OA
0,27.499245276956067,2,27.499245276956067,RM
0.6852069303615602,6.0419169256075405,602,6.727123855969101,RM
8.898799890199026,4.0156063424819894,409,12.914406232681015,RM
8.16577921485308,9.162782557722103,163,17.328561772575185,RM
6.052260918346171,0,192,6.052260918346171,RM
0,13.968410468617058,86,13.968410468617058,Y
8.894801229850179,20.99624531744346,269,29.89104654729364,Y
13.800323342833684,13.943143697577797,648,27.74346704041148,Y
22.02326090558367,13.279989890815022,282,35.30325079639869,Y
24.37407916219087,0,83,24.37407916219087,Y
